"","repo_name","num_events","num_actors","total_events","total_actors","events_per_actor","type","num_repo_events","num_repo_actors","repo_events_per_actor","participation_rate"
"30","hansott/psr7-cookies",5,1,28,4,7,"CreateEvent",28,4,7,0.3
"31","breandan/ml-exercises",2,1,8,3,2.66667,"CreateEvent",8,3,2.66667,0.3
"32","PolymerElements/iron-validatable-behavior",3,3,37,14,2.64286,"CreateEvent",37,14,2.64286,0.1
"33","phiDelPark/aFox",44,1,295,3,98.33333,"DeleteEvent",295,3,98.33333,0.3
"34","ElvenStudio/Odoo",19,1,85,5,17,"IssuesEvent",85,5,17,0.2
"35","nathn123/PokerGame-API",5,1,67,4,16.75,"MemberEvent",67,4,16.75,0.3
"36","upyun/go-sdk",4,1,44,9,4.88889,"IssueCommentEvent",44,9,4.88889,0.1
"37","deseretdigital-ui/ddm-selecty",7,4,242,6,40.33333,"IssueCommentEvent",242,6,40.33333,0.2
"38","krautcomputing/middleman-sitemap-ping",1,1,16,5,3.2,"IssuesEvent",16,5,3.2,0.2
"39","android-ia/frameworks-native",3,3,23,4,5.75,"CreateEvent",23,4,5.75,0.3
"40","handai-trema/hello-trema-shuya-abe",3,1,13,3,4.33333,"CreateEvent",13,3,4.33333,0.3
"41","vollero/openCAPWAP",5,3,15,9,1.66667,"IssueCommentEvent",15,9,1.66667,0.1
"42","htmlacademy-adaptive/182700-mishka",6,3,72,4,18,"PullRequestEvent",72,4,18,0.3
"43","PolymerElements/iron-validatable-behavior",6,6,37,14,2.64286,"ForkEvent",37,14,2.64286,0.1
"44","mhroth/tinyosc",16,16,22,20,1.1,"WatchEvent",22,20,1.1,0.1
"45","buttons/buttons.github.io",2,2,24,3,8,"WatchEvent",24,3,8,0.3
"46","squidproxy/onesafe",7,7,33,14,2.35714,"WatchEvent",33,14,2.35714,0.1
"47","phiDelPark/aFox",46,1,295,3,98.33333,"CreateEvent",295,3,98.33333,0.3
"48","shakalaca/ASUS_ZenFone_ZE550KL",1,1,3,3,1,"IssuesEvent",3,3,1,0.3
"49","NeoTheThird/terminal-tennis",2,2,53,3,17.66667,"PullRequestEvent",53,3,17.66667,0.3
"50","rizo/elements",4,1,52,3,17.33333,"IssueCommentEvent",52,3,17.33333,0.3
"51","JorritPosthuma/MixCloud-Desktop",3,3,22,15,1.46667,"IssueCommentEvent",22,15,1.46667,0.1
"52","upyun/go-sdk",23,2,44,9,4.88889,"PullRequestReviewCommentEvent",44,9,4.88889,0.1
"53","hackreactor/generator-test",5,5,5,5,1,"ForkEvent",5,5,1,0.2
"54","yous/tweetdeck_image_extension",4,2,43,4,10.75,"ForkEvent",43,4,10.75,0.3
"55","roughcoding/flawcode",3,3,90,4,22.5,"ForkEvent",90,4,22.5,0.3
"56","krautcomputing/middleman-sitemap-ping",7,1,16,5,3.2,"PushEvent",16,5,3.2,0.2
"57","phiDelPark/aFox",155,1,295,3,98.33333,"PushEvent",295,3,98.33333,0.3
"58","joesforn/angularMultipleSelect",1,1,8,3,2.66667,"WatchEvent",8,3,2.66667,0.3
"59","daattali/lightsout",2,2,14,3,4.66667,"WatchEvent",14,3,4.66667,0.3
"60","ElvenStudio/Odoo",2,1,85,5,17,"CreateEvent",85,5,17,0.2
"61","qq8585083/CommonAdapter",2,1,5,3,1.66667,"CreateEvent",5,3,1.66667,0.3
"62","Soullivaneuh/composer-versions-check",1,1,17,17,1,"IssuesEvent",17,17,1,0.1
"63","roughcoding/flawcode",3,1,90,4,22.5,"IssuesEvent",90,4,22.5,0.3
